synthetic_transaction_id,anomaly_score,transparent_baseline_score,rank,anomaly_rank_percentile,signal_strengths,signal_feature_names,explanation_text,missing_history_warning,synthetic_scenario_label,synthetic_label_notice
syn-transaction-009565,0.639562,0.40679,11,99.1653,"{""amount_deviation"": ""weak"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The transaction hour differs from the user's prior observed timing by 9.67 circular hours; this is a strong time-deviation signal. The user's observed channel history is new at this row; this is a moderate novelty signal. The amount is 0.68x the user's prior observed average (522.64 to 353.48); this is a weak two-sided amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_behavior_deviation,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009640,0.637114,0.396722,12,99.0818,"{""amount_deviation"": ""weak"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The transaction hour differs from the user's prior observed timing by 11.74 circular hours; this is a strong time-deviation signal. The user's observed channel history is new at this row; this is a moderate novelty signal. The amount is 1.43x the user's prior observed average (1375.46 to 1960.09); this is a weak amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_unusual_time,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009322,0.626879,0.485258,13,98.9983,"{""amount_deviation"": ""moderate"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The transaction hour differs from the user's prior observed timing by 6.78 circular hours; this is a strong time-deviation signal. The amount is 1.97x the user's prior observed average (338.93 to 667.95); this is a moderate amount-deviation signal. The user's observed channel history is new at this row; this is a moderate novelty signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_combined_pattern,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009824,0.626467,0.654265,14,98.9149,"{""amount_deviation"": ""strong"", ""novelty"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The transaction hour differs from the user's prior observed timing by 9.42 circular hours; this is a strong time-deviation signal. The amount is 0.39x the user's prior observed average (714.12 to 281.44); this is a strong two-sided amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_unusual_time,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-008936,0.61016,0.645002,15,98.8314,"{""amount_deviation"": ""strong"", ""novelty"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The transaction hour differs from the user's prior observed timing by 11.71 circular hours; this is a strong time-deviation signal. The amount is 2.45x the user's prior observed average (481.07 to 1179.95); this is a strong amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009013,0.608516,0.359911,16,98.7479,"{""amount_deviation"": ""moderate"", ""novelty"": ""moderate"", ""time_deviation"": ""moderate""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 1.88x the user's prior observed average (1162.51 to 2189.46); this is a moderate amount-deviation signal. The user's observed channel history is new at this row; this is a moderate novelty signal. The transaction hour differs from the user's prior observed timing by 2.61 circular hours; this is a moderate time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_behavior_deviation,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009337,0.597749,0.488805,17,98.6644,"{""amount_deviation"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The transaction hour differs from the user's prior observed timing by 9.00 circular hours; this is a strong time-deviation signal. The amount is 2.88x the user's prior observed average (1611.24 to 4639.57); this is a strong amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_unusual_time,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009962,0.591374,0.521053,18,98.581,"{""amount_deviation"": ""strong"", ""novelty"": ""moderate"", ""time_deviation"": ""moderate""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 3.82x the user's prior observed average (1243.83 to 4756.20); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 3.63 circular hours; this is a moderate time-deviation signal. The user's observed merchant history is new at this row; this is a moderate novelty signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009835,0.578236,0.5505,19,98.4975,"{""amount_deviation"": ""moderate"", ""novelty"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The transaction hour differs from the user's prior observed timing by 10.74 circular hours; this is a strong time-deviation signal. The amount is 0.58x the user's prior observed average (328.89 to 189.54); this is a moderate two-sided amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,normal,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009512,0.573853,0.5,20,98.414,"{""amount_deviation"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 3.26x the user's prior observed average (1194.41 to 3889.24); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 10.78 circular hours; this is a strong time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,normal,Offline synthetic scenario reference only; not real-world ground truth.
